,National_ID,Age,Gender,Region,Income_Level,Household_Dependents,Monthly_Energy_Consumption_kWh,Subsidy_Eligibility,Subsidy_Type,Amount_NGN,Channel,Date,Wallet_Activity_Status,Wallet_Balance_NGN,Days_Since_Last_Transaction,Avg_Monthly_Wallet_Balance,Suspected_Fraud
362,ID00042,54,Male,Kano,Low,9,113,1,Cash Transfer,6658,Mobile Wallet,2021-12-15,Suspicious,8718.0,79.0,2981.0,1
374,ID00042,54,Male,Kano,Low,9,113,1,Cash Transfer,5843,Mobile Wallet,2020-03-11,Inactive,4518.0,98.0,2287.0,1
418,ID00047,56,Male,Yobe,Low,5,157,1,Cash Transfer,8273,Mobile Wallet,2022-06-11,Suspicious,2093.0,50.0,7003.0,1
443,ID00050,42,Female,Kaduna,Low,1,107,0,Fuel,5349,Mobile Wallet,2021-09-07,Inactive,4418.0,38.0,5193.0,1
447,ID00050,42,Female,Kaduna,Low,1,107,0,Cash Transfer,6845,Mobile Wallet,2019-09-30,Inactive,3996.0,31.0,6028.0,1
448,ID00050,42,Female,Kaduna,Low,1,107,0,Cash Transfer,5861,Mobile Wallet,2023-04-22,Suspicious,5745.0,70.0,4055.0,1
477,ID00054,43,Male,Kaduna,Low,8,129,1,Fuel,4897,Mobile Wallet,2020-11-07,Inactive,6431.0,93.0,3421.0,1
484,ID00055,19,Male,Lagos,Low,9,145,1,Fuel,5781,Mobile Wallet,2019-12-26,Inactive,3782.0,60.0,2617.0,1
569,ID00065,34,Female,Kano,Middle,6,166,0,Cash Transfer,4616,Mobile Wallet,2021-01-21,Suspicious,9113.0,58.0,5779.0,1
581,ID00066,53,Female,Kaduna,Low,8,107,1,Cash Transfer,5968,Mobile Wallet,2020-05-04,Suspicious,3933.0,68.0,1281.0,1
582,ID00066,53,Female,Kaduna,Low,8,107,1,Fuel,5338,Mobile Wallet,2021-05-16,Inactive,6684.0,98.0,3825.0,1
583,ID00066,53,Female,Kaduna,Low,8,107,1,Fuel,5988,Mobile Wallet,2022-01-09,Suspicious,7589.0,55.0,4383.0,1
619,ID00071,23,Female,Lagos,Low,7,79,1,Cash Transfer,7161,Mobile Wallet,2021-05-10,Inactive,7174.0,38.0,2995.0,1
625,ID00072,59,Male,Oyo,Low,1,66,0,Fuel,4564,Mobile Wallet,2022-03-30,Inactive,4320.0,79.0,5113.0,1
659,ID00075,35,Female,Kaduna,Low,4,114,1,Cash Transfer,7416,Mobile Wallet,2021-03-26,Suspicious,2661.0,25.0,4217.0,1
669,ID00077,61,Male,Rivers,Low,6,108,1,Fuel,4703,Mobile Wallet,2021-02-10,Inactive,4210.0,50.0,3062.0,1
674,ID00077,61,Male,Rivers,Low,6,108,1,Cash Transfer,8163,Mobile Wallet,2022-01-10,Suspicious,6036.0,96.0,2842.0,1
681,ID00080,53,Male,Rivers,Low,7,112,1,Fuel,5917,Mobile Wallet,2021-07-06,Inactive,3215.0,99.0,4717.0,1
695,ID00082,48,Female,Kaduna,Middle,6,142,0,Cash Transfer,4942,Mobile Wallet,2022-03-01,Suspicious,3416.0,28.0,4203.0,1
707,ID00083,65,Female,Yobe,Low,1,75,0,Cash Transfer,7416,Mobile Wallet,2023-03-15,Suspicious,5524.0,46.0,6737.0,1
709,ID00083,65,Female,Yobe,Low,1,75,0,Cash Transfer,6222,Mobile Wallet,2021-03-14,Suspicious,5558.0,29.0,1891.0,1
736,ID00087,40,Male,Lagos,Middle,1,100,0,Cash Transfer,5176,Mobile Wallet,2019-08-19,Inactive,6413.0,47.0,5423.0,1
741,ID00088,57,Female,Kaduna,Middle,9,92,0,Cash Transfer,4581,Mobile Wallet,2023-01-20,Inactive,7707.0,10.0,3217.0,1
752,ID00089,38,Male,Lagos,Middle,7,89,0,Cash Transfer,5607,Mobile Wallet,2020-03-03,Inactive,6015.0,51.0,4475.0,1
782,ID00092,35,Male,Yobe,Middle,4,84,0,Cash Transfer,5582,Mobile Wallet,2022-07-08,Suspicious,6463.0,21.0,2981.0,1
790,ID00093,64,Male,Rivers,Middle,8,82,0,Cash Transfer,4842,Mobile Wallet,2023-08-28,Suspicious,4808.0,15.0,4817.0,1
851,ID00099,46,Female,Yobe,Low,5,118,1,Cash Transfer,7775,Mobile Wallet,2020-12-26,Suspicious,881.0,43.0,3449.0,1
902,ID00104,24,Male,Kaduna,Middle,7,80,0,Cash Transfer,4506,Mobile Wallet,2021-02-16,Inactive,5101.0,11.0,3486.0,1
922,ID00106,41,Male,Oyo,Middle,4,132,0,Cash Transfer,4939,Mobile Wallet,2021-02-12,Inactive,2865.0,18.0,3568.0,1
951,ID00113,34,Male,Yobe,Low,8,93,1,Fuel,5354,Mobile Wallet,2021-07-10,Suspicious,4494.0,10.0,4448.0,1
961,ID00114,25,Male,Rivers,Low,3,141,0,Cash Transfer,7752,Mobile Wallet,2023-01-31,Suspicious,4852.0,4.0,4432.0,1
973,ID00116,52,Male,Oyo,Middle,6,86,0,Cash Transfer,5372,Mobile Wallet,2022-05-30,Inactive,5898.0,54.0,5538.0,1
1038,ID00122,45,Female,Kaduna,Middle,1,106,0,Cash Transfer,5152,Mobile Wallet,2020-01-21,Suspicious,5971.0,98.0,3757.0,1
1055,ID00124,26,Male,Kano,Middle,1,59,0,Cash Transfer,5662,Mobile Wallet,2020-08-05,Suspicious,3936.0,30.0,5160.0,1
1083,ID00130,40,Female,Yobe,Low,7,160,1,Cash Transfer,7039,Mobile Wallet,2020-02-25,Inactive,7463.0,88.0,4728.0,1
1117,ID00133,52,Female,Kano,Middle,7,91,0,Cash Transfer,4861,Mobile Wallet,2020-10-10,Suspicious,8981.0,45.0,4792.0,1
1144,ID00136,39,Female,Kano,Low,6,44,1,Fuel,4860,Mobile Wallet,2021-11-06,Inactive,5018.0,97.0,2387.0,1
1147,ID00136,39,Female,Kano,Low,6,44,1,Fuel,4800,Mobile Wallet,2020-11-07,Suspicious,8315.0,5.0,4498.0,1
1197,ID00144,20,Female,Rivers,Low,2,68,0,Cash Transfer,7026,Mobile Wallet,2019-03-26,Inactive,4873.0,41.0,1054.0,1
1252,ID00148,31,Male,Lagos,Low,8,68,1,Fuel,5831,Mobile Wallet,2023-07-16,Inactive,1467.0,73.0,6642.0,1
1253,ID00148,31,Male,Lagos,Low,8,68,1,Fuel,4594,Mobile Wallet,2020-01-04,Inactive,3061.0,41.0,891.0,1
1293,ID00153,32,Female,Lagos,Low,2,118,0,Cash Transfer,5875,Mobile Wallet,2020-04-23,Suspicious,2808.0,75.0,3680.0,1
1301,ID00153,32,Female,Lagos,Low,2,118,0,Fuel,5196,Mobile Wallet,2019-03-19,Suspicious,6683.0,17.0,3128.0,1
1307,ID00154,43,Female,Kano,Low,8,103,1,Cash Transfer,6575,Mobile Wallet,2021-12-14,Suspicious,5156.0,55.0,7234.0,1
1363,ID00160,66,Female,Kaduna,Low,6,46,1,Fuel,4810,Mobile Wallet,2023-09-30,Inactive,9480.0,68.0,4970.0,1
1442,ID00169,32,Male,Rivers,Middle,5,98,0,Cash Transfer,5109,Mobile Wallet,2022-09-20,Inactive,3101.0,66.0,3062.0,1
1454,ID00169,32,Male,Rivers,Middle,5,98,0,Cash Transfer,5069,Mobile Wallet,2021-11-24,Inactive,4327.0,27.0,3015.0,1
1524,ID00178,45,Male,Kaduna,Middle,3,163,0,Cash Transfer,5716,Mobile Wallet,2023-11-29,Suspicious,7101.0,84.0,5291.0,1
1531,ID00179,19,Male,Lagos,Low,6,66,1,Cash Transfer,8215,Mobile Wallet,2023-10-06,Inactive,4825.0,22.0,5775.0,1
1532,ID00179,19,Male,Lagos,Low,6,66,1,Cash Transfer,7182,Mobile Wallet,2022-04-03,Inactive,7205.0,86.0,5211.0,1
1535,ID00179,19,Male,Lagos,Low,6,66,1,Cash Transfer,6833,Mobile Wallet,2020-10-31,Inactive,4841.0,21.0,4998.0,1
1554,ID00182,23,Female,Kano,Low,3,33,0,Fuel,5057,Mobile Wallet,2022-01-02,Inactive,4756.0,65.0,2541.0,1
1557,ID00182,23,Female,Kano,Low,3,33,0,Fuel,5961,Mobile Wallet,2021-03-14,Inactive,6080.0,73.0,5220.0,1
1563,ID00183,45,Female,Rivers,Low,5,94,1,Fuel,5482,Mobile Wallet,2021-11-30,Inactive,4603.0,56.0,7035.0,1
1564,ID00183,45,Female,Rivers,Low,5,94,1,Fuel,4855,Mobile Wallet,2022-06-02,Inactive,2829.0,65.0,3399.0,1
1608,ID00187,37,Female,Kano,Low,9,117,1,Cash Transfer,6409,Mobile Wallet,2022-03-24,Inactive,3477.0,17.0,3574.0,1
1666,ID00194,18,Male,Yobe,Low,1,101,0,Fuel,5734,Mobile Wallet,2022-09-19,Suspicious,5879.0,51.0,3318.0,1
1700,ID00197,30,Male,Kaduna,Low,6,96,1,Fuel,4764,Mobile Wallet,2020-04-27,Suspicious,5208.0,36.0,2676.0,1
1708,ID00198,58,Male,Lagos,Low,7,82,1,Cash Transfer,5691,Mobile Wallet,2020-09-28,Suspicious,979.0,21.0,1759.0,1
1709,ID00198,58,Male,Lagos,Low,7,82,1,Fuel,5805,Mobile Wallet,2019-02-04,Suspicious,4042.0,75.0,3605.0,1
1721,ID00199,20,Male,Yobe,Middle,8,134,0,Cash Transfer,5359,Mobile Wallet,2019-03-14,Inactive,5058.0,99.0,6475.0,1
1742,ID00200,56,Female,Rivers,Low,2,87,0,Cash Transfer,8233,Mobile Wallet,2021-11-22,Suspicious,6100.0,78.0,1757.0,1
1760,ID00203,44,Male,Lagos,Low,1,120,0,Cash Transfer,8319,Mobile Wallet,2022-09-10,Suspicious,4310.0,94.0,3215.0,1
1766,ID00204,26,Male,Lagos,Middle,2,107,0,Cash Transfer,4623,Mobile Wallet,2023-12-15,Suspicious,2857.0,30.0,6841.0,1
1786,ID00206,50,Female,Kano,Low,6,71,1,Cash Transfer,6242,Mobile Wallet,2021-10-19,Inactive,4227.0,59.0,3074.0,1
1794,ID00208,59,Female,Kano,Low,9,122,1,Cash Transfer,6266,Mobile Wallet,2021-03-23,Inactive,5665.0,30.0,4675.0,1
1797,ID00208,59,Female,Kano,Low,9,122,1,Fuel,5618,Mobile Wallet,2023-03-18,Suspicious,6689.0,38.0,4164.0,1
1826,ID00213,49,Male,Kano,Middle,3,76,0,Cash Transfer,5357,Mobile Wallet,2020-06-17,Suspicious,6775.0,54.0,6226.0,1
1842,ID00216,69,Male,Yobe,Middle,5,10,0,Cash Transfer,4504,Mobile Wallet,2022-08-31,Suspicious,1482.0,25.0,3980.0,1
1858,ID00218,66,Male,Kaduna,Low,3,78,0,Fuel,5694,Mobile Wallet,2020-07-04,Inactive,4988.0,8.0,1160.0,1
1863,ID00218,66,Male,Kaduna,Low,3,78,0,Cash Transfer,5839,Mobile Wallet,2022-11-20,Inactive,3864.0,32.0,5694.0,1
1875,ID00219,69,Male,Oyo,Low,6,110,1,Cash Transfer,6560,Mobile Wallet,2021-02-21,Inactive,3414.0,98.0,4266.0,1
1918,ID00224,66,Male,Oyo,Low,3,69,0,Cash Transfer,6931,Mobile Wallet,2023-08-15,Inactive,4000.0,50.0,3368.0,1
1923,ID00224,66,Male,Oyo,Low,3,69,0,Fuel,4953,Mobile Wallet,2019-03-25,Inactive,4290.0,72.0,4657.0,1
1984,ID00232,40,Male,Kano,Low,1,10,0,Cash Transfer,8187,Mobile Wallet,2023-05-24,Suspicious,3787.0,79.0,4101.0,1
1997,ID00234,49,Male,Oyo,Low,8,71,1,Fuel,5293,Mobile Wallet,2023-06-08,Inactive,5963.0,34.0,3813.0,1
2001,ID00235,50,Male,Kaduna,Low,6,115,1,Cash Transfer,6539,Mobile Wallet,2021-07-28,Inactive,4748.0,72.0,4134.0,1
2018,ID00237,36,Female,Oyo,Low,5,55,1,Fuel,4718,Mobile Wallet,2022-10-26,Inactive,3865.0,3.0,5409.0,1
2025,ID00239,61,Female,Kaduna,Low,6,106,1,Cash Transfer,7584,Mobile Wallet,2020-04-24,Inactive,2581.0,39.0,3424.0,1
2033,ID00239,61,Female,Kaduna,Low,6,106,1,Cash Transfer,7582,Mobile Wallet,2022-08-25,Inactive,2622.0,66.0,2585.0,1
2102,ID00247,55,Male,Kaduna,Low,5,81,1,Cash Transfer,8224,Mobile Wallet,2022-11-19,Suspicious,2121.0,98.0,2929.0,1
2242,ID00264,53,Male,Oyo,Middle,8,61,0,Cash Transfer,4816,Mobile Wallet,2021-10-23,Suspicious,1518.0,65.0,4990.0,1
2337,ID00278,57,Female,Kano,Low,8,81,1,Fuel,5611,Mobile Wallet,2020-10-02,Inactive,4076.0,9.0,4919.0,1
2338,ID00278,57,Female,Kano,Low,8,81,1,Fuel,5151,Mobile Wallet,2022-09-10,Suspicious,4430.0,77.0,5626.0,1
2371,ID00282,42,Female,Kano,Low,7,59,1,Cash Transfer,8279,Mobile Wallet,2023-04-12,Suspicious,0.0,22.0,5509.0,1
2390,ID00285,48,Female,Rivers,Middle,5,101,0,Cash Transfer,5375,Mobile Wallet,2022-11-20,Inactive,7579.0,70.0,3471.0,1
2414,ID00288,52,Female,Oyo,Middle,4,101,0,Cash Transfer,5032,Mobile Wallet,2022-02-27,Suspicious,3692.0,69.0,7693.0,1
2421,ID00290,33,Male,Kano,Middle,9,107,0,Cash Transfer,5705,Mobile Wallet,2022-08-09,Inactive,4674.0,94.0,4067.0,1
2641,ID00314,28,Male,Yobe,Low,1,115,0,Cash Transfer,7050,Mobile Wallet,2022-11-16,Inactive,8489.0,36.0,2407.0,1
2642,ID00314,28,Male,Yobe,Low,1,115,0,Fuel,4526,Mobile Wallet,2020-04-16,Inactive,3806.0,83.0,1619.0,1
2676,ID00318,55,Male,Kano,Low,9,89,1,Cash Transfer,6501,Mobile Wallet,2021-09-09,Inactive,8193.0,96.0,2186.0,1
2677,ID00318,55,Male,Kano,Low,9,89,1,Fuel,5913,Mobile Wallet,2019-01-05,Suspicious,7074.0,89.0,4726.0,1
2709,ID00321,52,Female,Oyo,Middle,9,127,0,Cash Transfer,5432,Mobile Wallet,2023-11-23,Suspicious,1150.0,48.0,7554.0,1
2710,ID00321,52,Female,Oyo,Middle,9,127,0,Cash Transfer,5131,Mobile Wallet,2020-09-26,Inactive,4719.0,1.0,3951.0,1
2730,ID00323,42,Female,Yobe,Low,4,125,1,Cash Transfer,7785,Mobile Wallet,2019-09-08,Inactive,8772.0,87.0,4648.0,1
2747,ID00324,52,Female,Lagos,Low,3,137,0,Cash Transfer,5966,Mobile Wallet,2020-12-28,Inactive,6290.0,39.0,5499.0,1
2794,ID00330,19,Male,Kaduna,Low,9,131,1,Fuel,4593,Mobile Wallet,2022-07-22,Suspicious,3361.0,50.0,2408.0,1
2802,ID00330,19,Male,Kaduna,Low,9,131,1,Fuel,4663,Mobile Wallet,2021-09-28,Inactive,684.0,50.0,3294.0,1
2808,ID00331,52,Male,Kaduna,Low,1,62,0,Fuel,5918,Mobile Wallet,2022-12-29,Inactive,9641.0,62.0,3932.0,1
2816,ID00331,52,Male,Kaduna,Low,1,62,0,Cash Transfer,7870,Mobile Wallet,2019-05-09,Suspicious,8003.0,60.0,5056.0,1
2824,ID00332,33,Male,Kano,Low,4,95,1,Cash Transfer,6329,Mobile Wallet,2019-08-07,Inactive,7032.0,12.0,5739.0,1
2829,ID00332,33,Male,Kano,Low,4,95,1,Fuel,5399,Mobile Wallet,2021-07-08,Suspicious,8124.0,18.0,4716.0,1
2970,ID00345,34,Male,Lagos,Low,3,72,0,Cash Transfer,6510,Mobile Wallet,2021-11-13,Inactive,5905.0,97.0,4438.0,1
3003,ID00350,39,Male,Rivers,Low,9,96,1,Cash Transfer,5845,Mobile Wallet,2023-02-03,Inactive,4513.0,18.0,5250.0,1
3040,ID00356,62,Male,Lagos,Low,7,98,1,Cash Transfer,7868,Mobile Wallet,2022-06-21,Suspicious,6531.0,25.0,4985.0,1
3045,ID00356,62,Male,Lagos,Low,7,98,1,Fuel,5340,Mobile Wallet,2021-08-15,Suspicious,6965.0,81.0,2091.0,1
3046,ID00356,62,Male,Lagos,Low,7,98,1,Fuel,5790,Mobile Wallet,2023-04-29,Inactive,5333.0,32.0,4745.0,1
3119,ID00365,45,Male,Yobe,Low,1,68,0,Fuel,5352,Mobile Wallet,2020-04-21,Inactive,2962.0,90.0,3887.0,1
3148,ID00368,22,Male,Yobe,Middle,6,109,0,Cash Transfer,5230,Mobile Wallet,2019-05-03,Suspicious,5492.0,5.0,5334.0,1
3154,ID00369,65,Female,Kaduna,Middle,3,92,0,Cash Transfer,5101,Mobile Wallet,2022-10-25,Inactive,3491.0,38.0,4988.0,1
3165,ID00370,36,Female,Rivers,Low,7,32,1,Fuel,5109,Mobile Wallet,2019-01-24,Inactive,4136.0,62.0,3715.0,1
3166,ID00370,36,Female,Rivers,Low,7,32,1,Cash Transfer,6719,Mobile Wallet,2020-04-11,Suspicious,3537.0,76.0,4264.0,1
3187,ID00372,52,Female,Kaduna,Low,9,122,1,Fuel,5378,Mobile Wallet,2023-10-24,Suspicious,5477.0,46.0,4507.0,1
3211,ID00375,61,Female,Kaduna,Low,4,64,1,Cash Transfer,8279,Mobile Wallet,2019-08-27,Suspicious,6817.0,87.0,6988.0,1
3218,ID00377,47,Male,Lagos,Low,4,95,1,Cash Transfer,5675,Mobile Wallet,2023-01-11,Suspicious,4036.0,52.0,5662.0,1
3281,ID00383,54,Female,Lagos,Low,1,76,0,Cash Transfer,6125,Mobile Wallet,2019-01-02,Inactive,5921.0,61.0,3336.0,1
3299,ID00386,66,Female,Yobe,Low,8,98,1,Cash Transfer,7476,Mobile Wallet,2022-02-03,Suspicious,3463.0,3.0,5413.0,1
3331,ID00390,50,Male,Yobe,Low,5,65,1,Cash Transfer,6443,Mobile Wallet,2023-01-28,Suspicious,4167.0,99.0,3544.0,1
3358,ID00392,38,Female,Kano,Low,3,102,0,Fuel,5869,Mobile Wallet,2023-06-22,Inactive,5554.0,8.0,4160.0,1
3360,ID00392,38,Female,Kano,Low,3,102,0,Cash Transfer,7669,Mobile Wallet,2020-07-05,Inactive,5783.0,15.0,6388.0,1
3363,ID00393,49,Female,Rivers,Middle,7,117,0,Cash Transfer,5438,Mobile Wallet,2023-04-25,Inactive,4159.0,87.0,2118.0,1
3383,ID00394,40,Female,Lagos,Middle,8,128,0,Cash Transfer,5849,Mobile Wallet,2019-05-19,Inactive,2832.0,72.0,4386.0,1
3397,ID00396,20,Female,Oyo,Low,5,118,1,Cash Transfer,6950,Mobile Wallet,2021-04-03,Suspicious,5637.0,64.0,1632.0,1
3427,ID00399,59,Female,Oyo,Middle,8,89,0,Cash Transfer,5640,Mobile Wallet,2021-01-07,Suspicious,4641.0,28.0,1274.0,1
3455,ID00402,57,Female,Rivers,Low,1,99,0,Fuel,4528,Mobile Wallet,2023-03-24,Inactive,5353.0,74.0,6645.0,1
3483,ID00406,49,Male,Kaduna,Low,3,102,0,Cash Transfer,7085,Mobile Wallet,2022-06-25,Suspicious,2172.0,87.0,4142.0,1
3488,ID00406,49,Male,Kaduna,Low,3,102,0,Cash Transfer,6727,Mobile Wallet,2021-06-21,Inactive,3739.0,38.0,2205.0,1
3495,ID00406,49,Male,Kaduna,Low,3,102,0,Cash Transfer,8383,Mobile Wallet,2020-10-11,Suspicious,7182.0,65.0,1762.0,1
3574,ID00418,26,Female,Lagos,Low,2,110,0,Cash Transfer,7507,Mobile Wallet,2020-11-09,Inactive,8556.0,33.0,2818.0,1
3583,ID00418,26,Female,Lagos,Low,2,110,0,Fuel,5064,Mobile Wallet,2019-08-01,Inactive,7604.0,57.0,2292.0,1
3589,ID00419,60,Female,Oyo,Low,2,122,0,Cash Transfer,6237,Mobile Wallet,2023-05-03,Suspicious,6500.0,61.0,3822.0,1
3590,ID00419,60,Female,Oyo,Low,2,122,0,Cash Transfer,6511,Mobile Wallet,2021-08-30,Inactive,3755.0,9.0,3393.0,1
3611,ID00421,56,Male,Rivers,Low,2,116,0,Fuel,5671,Mobile Wallet,2022-09-12,Suspicious,7461.0,22.0,5912.0,1
3622,ID00422,46,Female,Oyo,Low,1,169,0,Cash Transfer,7981,Mobile Wallet,2021-06-04,Suspicious,4079.0,37.0,3328.0,1
3716,ID00432,62,Female,Oyo,Low,2,96,0,Cash Transfer,8000,Mobile Wallet,2019-03-25,Inactive,3791.0,59.0,3101.0,1
3721,ID00432,62,Female,Oyo,Low,2,96,0,Cash Transfer,6243,Mobile Wallet,2021-02-09,Inactive,5084.0,59.0,4924.0,1
3790,ID00440,68,Male,Rivers,Middle,8,127,0,Cash Transfer,4560,Mobile Wallet,2021-06-25,Inactive,4322.0,28.0,5207.0,1
3821,ID00443,45,Female,Kano,Low,4,72,1,Cash Transfer,6366,Mobile Wallet,2019-03-15,Suspicious,4149.0,58.0,3497.0,1
3886,ID00452,39,Female,Lagos,Low,8,94,1,Fuel,4929,Mobile Wallet,2023-06-07,Suspicious,5825.0,64.0,4999.0,1
3890,ID00453,66,Female,Kano,Low,8,92,1,Fuel,5799,Mobile Wallet,2020-03-24,Inactive,4192.0,70.0,2095.0,1
3927,ID00458,60,Female,Lagos,Low,4,67,1,Cash Transfer,7119,Mobile Wallet,2022-08-03,Suspicious,4884.0,6.0,3573.0,1
3950,ID00461,25,Female,Oyo,Low,7,86,1,Cash Transfer,8334,Mobile Wallet,2020-05-04,Inactive,5925.0,17.0,4101.0,1
3954,ID00461,25,Female,Oyo,Low,7,86,1,Fuel,5798,Mobile Wallet,2020-11-25,Inactive,7946.0,77.0,3535.0,1
3962,ID00463,61,Female,Yobe,Middle,7,140,0,Cash Transfer,4864,Mobile Wallet,2020-05-30,Inactive,4944.0,6.0,3313.0,1
4077,ID00479,59,Female,Yobe,Middle,9,85,0,Cash Transfer,5772,Mobile Wallet,2019-02-07,Inactive,6010.0,86.0,1678.0,1
4096,ID00481,36,Female,Kaduna,Low,9,79,1,Cash Transfer,7516,Mobile Wallet,2019-04-20,Inactive,5947.0,88.0,5088.0,1
4099,ID00481,36,Female,Kaduna,Low,9,79,1,Cash Transfer,6153,Mobile Wallet,2021-09-24,Inactive,6682.0,30.0,4955.0,1
4137,ID00486,54,Male,Kano,Low,6,80,1,Cash Transfer,6452,Mobile Wallet,2019-03-06,Inactive,7418.0,16.0,5397.0,1
4158,ID00487,43,Male,Oyo,Low,9,72,1,Cash Transfer,6020,Mobile Wallet,2022-09-03,Inactive,1205.0,90.0,4931.0,1
4270,ID00499,62,Male,Kano,Low,9,120,1,Cash Transfer,7975,Mobile Wallet,2021-11-24,Inactive,4521.0,19.0,2555.0,1
4290,ID00502,56,Male,Rivers,Low,3,87,0,Fuel,5768,Mobile Wallet,2021-04-22,Suspicious,2135.0,94.0,3134.0,1
4396,ID00518,66,Female,Lagos,Low,6,136,1,Cash Transfer,6846,Mobile Wallet,2020-04-28,Suspicious,7135.0,65.0,4248.0,1
4400,ID00519,47,Female,Oyo,Low,5,104,1,Cash Transfer,6012,Mobile Wallet,2022-03-07,Suspicious,4225.0,58.0,2153.0,1
4421,ID00522,22,Female,Rivers,Low,3,133,0,Cash Transfer,6427,Mobile Wallet,2020-02-15,Inactive,9052.0,5.0,6537.0,1
4436,ID00523,29,Male,Kaduna,Low,2,94,0,Fuel,5295,Mobile Wallet,2020-08-03,Suspicious,4528.0,48.0,3544.0,1
4536,ID00538,51,Male,Lagos,Middle,2,72,0,Cash Transfer,4577,Mobile Wallet,2022-12-31,Suspicious,5598.0,61.0,6834.0,1
4543,ID00540,48,Male,Kaduna,Low,4,82,1,Fuel,4970,Mobile Wallet,2023-09-07,Inactive,9031.0,24.0,4359.0,1
4557,ID00541,27,Female,Rivers,Low,5,74,1,Fuel,5636,Mobile Wallet,2022-07-21,Suspicious,8343.0,48.0,3846.0,1
4567,ID00542,36,Female,Kano,Low,7,70,1,Cash Transfer,5753,Mobile Wallet,2023-02-05,Inactive,7843.0,93.0,2309.0,1
4579,ID00544,18,Male,Yobe,Low,6,87,1,Fuel,5217,Mobile Wallet,2020-03-25,Inactive,6843.0,39.0,5623.0,1
4584,ID00544,18,Male,Yobe,Low,6,87,1,Cash Transfer,7755,Mobile Wallet,2019-07-23,Suspicious,1844.0,60.0,4808.0,1
4629,ID00547,21,Male,Rivers,Low,4,44,1,Cash Transfer,7599,Mobile Wallet,2019-04-10,Inactive,4623.0,82.0,4317.0,1
4670,ID00556,37,Male,Kaduna,Middle,3,135,0,Cash Transfer,5614,Mobile Wallet,2020-06-16,Suspicious,2282.0,46.0,2746.0,1
4701,ID00561,50,Female,Kano,Low,9,62,1,Cash Transfer,8299,Mobile Wallet,2019-02-09,Suspicious,4160.0,92.0,4621.0,1
4709,ID00562,50,Male,Lagos,Low,8,99,1,Cash Transfer,7819,Mobile Wallet,2023-05-01,Suspicious,4104.0,43.0,4627.0,1
4728,ID00567,20,Female,Yobe,Low,2,92,0,Fuel,5401,Mobile Wallet,2020-08-03,Inactive,3790.0,98.0,3987.0,1
4730,ID00567,20,Female,Yobe,Low,2,92,0,Cash Transfer,6848,Mobile Wallet,2023-06-18,Inactive,6390.0,75.0,1943.0,1
4733,ID00567,20,Female,Yobe,Low,2,92,0,Fuel,5124,Mobile Wallet,2019-08-27,Suspicious,1866.0,33.0,2795.0,1
4827,ID00579,19,Male,Rivers,Low,4,154,1,Cash Transfer,5750,Mobile Wallet,2023-05-05,Inactive,3460.0,15.0,4356.0,1
